    LRGN[Rr.wing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -4,            1,      2.03302,        5.9586,       21.2568,          0.428492,         -0.022333,      6.38709,      21.2345,    0.0809263,     0.269047
                1,            6,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
                6,            6,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

    LRGN[Fr.wing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -4,            1,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
                1,            6,      1.61736,        3.6921,       23.3438,          0.292187,        -0.0149864,      3.98429,      23.3288,    0.0504821,     0.295583
                6,            6,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

    LRGN[Rr.wheel]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -4,            1,      1.62918,       11.3758,       5.44321,          0.766291,         -0.175576,      12.1421,      5.26763,     0.153844,    0.0667425
                1,            6,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
                6,            6,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

    LRGN[Fr.wheel]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -4,            1,     0.500993,        4.2929,      0.406529,          0.123475,          0.272061,      4.41638,      0.67859,    0.0559568,   0.00859793
                1,            6,      1.14702,       7.02085,       2.18046,          0.639525,         -0.498674,      7.66037,      1.68178,    0.0970592,    0.0213087
                6,            6,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

    LRGN[body]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -4,            1,      10.0515,       40.7513,       13.8007,           1.25509,        -0.0268009,      42.0064,      13.7739,     0.532234,     0.174519
                1,            6,       1.6484,       10.0169,      -1.38734,          0.415527,        -0.0495164,      10.4324,     -1.43686,     0.132181,   -0.0182054
                6,            6,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

